time_s,desired_velocity,command_velocity,motion_debt,pass_through,state,filtered_velocity_magnitude,filtered_velocity,real_velocity,position
1783217146.092954,0.698100,0.000000,0.000000,0,0,0.069810,0.069810,0.000000,0.000000
1783217146.093954,0.698100,0.000000,0.000698,0,0,0.132639,0.132639,0.000000,0.000000
1783217146.094954,0.698100,0.000000,0.001396,0,0,0.189185,0.189185,0.000000,0.000000
1783217146.095954,0.698100,0.698100,0.000000,1,0,0.240077,0.240077,0.024636,0.000025
1783217146.096954,0.698100,0.698100,0.000000,1,0,0.285879,0.285879,0.048305,0.000073
1783217146.097954,0.698100,0.698100,0.000000,1,0,0.327101,0.327101,0.071047,0.000144
1783217146.098954,0.698100,0.698100,0.000000,1,0,0.364201,0.364201,0.092897,0.000237
1783217146.099954,0.698100,0.698100,0.000000,1,0,0.397591,0.397591,0.113890,0.000351
1783217146.100954,0.698100,0.698100,0.000000,1,0,0.427642,0.427642,0.134060,0.000485
1783217146.101954,0.698100,0.698100,0.000000,1,0,0.454688,0.454688,0.153439,0.000638
1783217146.102954,0.698100,0.698100,0.000000,1,0,0.479029,0.479029,0.172058,0.000810
1783217146.103954,0.698100,0.698100,0.000000,1,0,0.500936,0.500936,0.189947,0.001000
1783217146.104954,0.698100,0.698100,0.000000,1,0,0.520652,0.520652,0.207135,0.001207
1783217146.105954,0.698100,0.698100,0.000000,1,0,0.538397,0.538397,0.223648,0.001431
1783217146.106954,0.698100,0.698100,0.000000,1,0,0.554367,0.554367,0.239515,0.001671
1783217146.107954,0.698100,0.698100,0.000000,1,0,0.568741,0.568741,0.254759,0.001925
1783217146.108954,0.698100,0.698100,0.000000,1,0,0.581676,0.581676,0.269405,0.002195
1783217146.109954,0.698100,0.698100,0.000000,1,0,0.593319,0.593319,0.283477,0.002478
1783217146.110954,0.698100,0.698100,0.000000,1,0,0.603797,0.603797,0.296997,0.002775
1783217146.111954,0.698100,0.698100,0.000000,1,0,0.613227,0.613227,0.309988,0.003085
1783217146.112954,0.698100,0.698100,0.000000,1,0,0.621714,0.621714,0.322468,0.003408
1783217146.113954,0.698100,0.698100,0.000000,1,0,0.629353,0.629353,0.334460,0.003742
1783217146.114954,0.698100,0.698100,0.000000,1,0,0.636228,0.636228,0.345981,0.004088
1783217146.115954,0.698100,0.698100,0.000000,1,0,0.642415,0.642415,0.357051,0.004445
1783217146.116954,0.698100,0.698100,0.000000,1,0,0.647983,0.647983,0.367686,0.004813
1783217146.117954,0.698100,0.698100,0.000000,1,0,0.652995,0.652995,0.377904,0.005191
1783217146.118954,0.698100,0.698100,0.000000,1,0,0.657505,0.657505,0.387722,0.005578
1783217146.119954,0.698100,0.698100,0.000000,1,0,0.661565,0.661565,0.397155,0.005976
1783217146.120954,0.698100,0.698100,0.000000,1,0,0.665218,0.665218,0.406218,0.006382
1783217146.121954,0.698100,0.698100,0.000000,1,0,0.668506,0.668506,0.414925,0.006797
1783217146.122954,0.698100,0.698100,0.000000,1,0,0.671466,0.671466,0.423292,0.007220
1783217146.123954,0.698100,0.698100,0.000000,1,0,0.674129,0.674129,0.431330,0.007651
1783217146.124954,0.698100,0.698100,0.000000,1,0,0.676526,0.676526,0.439053,0.008090
1783217146.125954,0.698100,0.698100,0.000000,1,0,0.678683,0.678683,0.446473,0.008537
