time_s,desired_velocity,command_velocity,motion_debt,pass_through,state,filtered_velocity_magnitude,filtered_velocity,real_velocity,position
1783217149.073705,0.698100,0.000000,0.000000,0,0,0.069810,0.069810,0.000000,0.000000
1783217149.074705,0.698100,0.000000,0.000698,0,0,0.132639,0.132639,0.000000,0.000000
1783217149.075705,0.698100,0.000000,0.001396,0,0,0.189185,0.189185,0.000000,0.000000
1783217149.076705,0.698100,0.698100,0.000000,1,0,0.240077,0.240077,0.024636,0.000025
1783217149.077705,0.698100,0.698100,0.000000,1,0,0.285879,0.285879,0.048305,0.000073
1783217149.078705,0.698100,0.698100,0.000000,1,0,0.327101,0.327101,0.071047,0.000144
1783217149.079705,0.698100,0.698100,0.000000,1,0,0.364201,0.364201,0.092897,0.000237
1783217149.080705,0.698100,0.698100,0.000000,1,0,0.397591,0.397591,0.113890,0.000351
1783217149.081705,0.698100,0.698100,0.000000,1,0,0.427642,0.427642,0.134060,0.000485
1783217149.082705,0.698100,0.698100,0.000000,1,0,0.454688,0.454688,0.153439,0.000638
1783217149.083705,0.698100,0.698100,0.000000,1,0,0.479029,0.479029,0.172058,0.000810
1783217149.084705,0.698100,0.698100,0.000000,1,0,0.500936,0.500936,0.189947,0.001000
1783217149.085705,0.698100,0.698100,0.000000,1,0,0.520652,0.520652,0.207135,0.001207
1783217149.086705,0.698100,0.698100,0.000000,1,0,0.538397,0.538397,0.223648,0.001431
1783217149.087705,0.698100,0.698100,0.000000,1,0,0.554367,0.554367,0.239515,0.001671
1783217149.088705,0.698100,0.698100,0.000000,1,0,0.568741,0.568741,0.254759,0.001925
1783217149.089705,0.698100,0.698100,0.000000,1,0,0.581676,0.581676,0.269405,0.002195
1783217149.090705,0.698100,0.698100,0.000000,1,0,0.593319,0.593319,0.283477,0.002478
1783217149.091705,0.698100,0.698100,0.000000,1,0,0.603797,0.603797,0.296997,0.002775
1783217149.092705,0.698100,0.698100,0.000000,1,0,0.613227,0.613227,0.309988,0.003085
1783217149.093705,0.698100,0.698100,0.000000,1,0,0.621714,0.621714,0.322468,0.003408
1783217149.094705,0.698100,0.698100,0.000000,1,0,0.629353,0.629353,0.334460,0.003742
1783217149.095705,0.698100,0.698100,0.000000,1,0,0.636228,0.636228,0.345981,0.004088
1783217149.096705,0.698100,0.698100,0.000000,1,0,0.642415,0.642415,0.357051,0.004445
1783217149.097705,0.698100,0.698100,0.000000,1,0,0.647983,0.647983,0.367686,0.004813
