time_s,desired_velocity,command_velocity,motion_debt,pass_through,state,filtered_velocity_magnitude,filtered_velocity,real_velocity,position
1783217149.706537,0.698100,0.000000,0.000000,0,0,0.069810,0.069810,0.000000,0.000000
1783217149.707537,0.698100,0.000000,0.000698,0,0,0.132639,0.132639,0.000000,0.000000
1783217149.708537,0.698100,0.000000,0.001396,0,0,0.189185,0.189185,0.000000,0.000000
1783217149.709537,0.698100,0.698100,0.000000,1,0,0.240077,0.240077,0.024636,0.000025
1783217149.710537,0.698100,0.698100,0.000000,1,0,0.285879,0.285879,0.048305,0.000073
1783217149.711537,0.698100,0.698100,0.000000,1,0,0.327101,0.327101,0.071047,0.000144
1783217149.712537,0.698100,0.698100,0.000000,1,0,0.364201,0.364201,0.092897,0.000237
1783217149.713537,0.698100,0.698100,0.000000,1,0,0.397591,0.397591,0.113890,0.000351
1783217149.714537,0.698100,0.698100,0.000000,1,0,0.427642,0.427642,0.134060,0.000485
1783217149.715537,0.698100,0.698100,0.000000,1,0,0.454688,0.454688,0.153439,0.000638
1783217149.716537,0.698100,0.698100,0.000000,1,0,0.479029,0.479029,0.172058,0.000810
1783217149.717537,0.698100,0.698100,0.000000,1,0,0.500936,0.500936,0.189947,0.001000
1783217149.718537,0.698100,0.698100,0.000000,1,0,0.520652,0.520652,0.207135,0.001207
1783217149.719537,0.698100,0.698100,0.000000,1,0,0.538397,0.538397,0.223648,0.001431
1783217149.720537,0.698100,0.698100,0.000000,1,0,0.554367,0.554367,0.239515,0.001671
1783217149.721537,0.698100,0.698100,0.000000,1,0,0.568741,0.568741,0.254759,0.001925
1783217149.722537,0.698100,0.698100,0.000000,1,0,0.581676,0.581676,0.269405,0.002195
1783217149.723537,0.698100,0.698100,0.000000,1,0,0.593319,0.593319,0.283477,0.002478
1783217149.724537,0.698100,0.698100,0.000000,1,0,0.603797,0.603797,0.296997,0.002775
1783217149.725537,0.698100,0.698100,0.000000,1,0,0.613227,0.613227,0.309988,0.003085
1783217149.726537,0.698100,0.698100,0.000000,1,0,0.621714,0.621714,0.322468,0.003408
1783217149.727537,0.698100,0.698100,0.000000,1,0,0.629353,0.629353,0.334460,0.003742
1783217149.728537,0.698100,0.698100,0.000000,1,0,0.636228,0.636228,0.345981,0.004088
1783217149.729537,0.698100,0.698100,0.000000,1,0,0.642415,0.642415,0.357051,0.004445
1783217149.730537,0.698100,0.698100,0.000000,1,0,0.647983,0.647983,0.367686,0.004813
1783217149.731537,0.698100,0.698100,0.000000,1,0,0.652995,0.652995,0.377904,0.005191
1783217149.732537,0.698100,0.698100,0.000000,1,0,0.657505,0.657505,0.387722,0.005578
1783217149.733537,0.698100,0.698100,0.000000,1,0,0.661565,0.661565,0.397155,0.005976
1783217149.734537,0.698100,0.698100,0.000000,1,0,0.665218,0.665218,0.406218,0.006382
1783217149.735537,0.698100,0.698100,0.000000,1,0,0.668506,0.668506,0.414925,0.006797
1783217149.736537,0.698100,0.698100,0.000000,1,0,0.671466,0.671466,0.423292,0.007220
1783217149.737537,0.698100,0.698100,0.000000,1,0,0.674129,0.674129,0.431330,0.007651
1783217149.738537,0.698100,0.698100,0.000000,1,0,0.676526,0.676526,0.439053,0.008090
1783217149.739537,0.698100,0.698100,0.000000,1,0,0.678683,0.678683,0.446473,0.008537
1783217149.740537,0.698100,0.698100,0.000000,1,0,0.680625,0.680625,0.453602,0.008991
1783217149.741537,0.698100,0.698100,0.000000,1,0,0.682373,0.682373,0.460451,0.009451
1783217149.742537,0.698100,0.698100,0.000000,1,0,0.683945,0.683945,0.467033,0.009918
1783217149.743537,0.698100,0.698100,0.000000,1,0,0.685361,0.685361,0.473356,0.010391
1783217149.744537,0.698100,0.698100,0.000000,1,0,0.686635,0.686635,0.479431,0.010871
1783217149.745537,0.698100,0.698100,0.000000,1,0,0.687781,0.687781,0.485267,0.011356
1783217149.746537,0.698100,0.698100,0.000000,1,0,0.688813,0.688813,0.490875,0.011847
1783217149.747537,0.698100,0.698100,0.000000,1,0,0.689742,0.689742,0.496264,0.012343
1783217149.748537,0.698100,0.698100,0.000000,1,0,0.690577,0.690577,0.501440,0.012845
1783217149.749537,0.698100,0.698100,0.000000,1,0,0.691330,0.691330,0.506414,0.013351
1783217149.750537,0.698100,0.698100,0.000000,1,0,0.692007,0.692007,0.511193,0.013862
1783217149.751537,0.698100,0.698100,0.000000,1,0,0.692616,0.692616,0.515784,0.014378
1783217149.752537,0.698100,0.698100,0.000000,1,0,0.693164,0.693164,0.520196,0.014898
1783217149.753537,0.698100,0.698100,0.000000,1,0,0.693658,0.693658,0.524434,0.015423
1783217149.754537,0.698100,0.698100,0.000000,1,0,0.694102,0.694102,0.528507,0.015951
